plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Acacia abyssinica,deep (>>150 cm),shallow (20-50 cm),20,30,10,40,"medium, light","medium, light",450,1200,300,1500,moderate,low,-,-,20,28,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,clear skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",,365,365
Acacia acradenia,medium (50-150 cm),shallow (20-50 cm),24,34,8,42,"medium, light","medium, light",400,800,200,1000,moderate,,-,-,-,-,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,300
Acacia acuminata,deep (>>150 cm),medium (50-150 cm),17,28,6,38,"medium, light","heavy, medium, light",350,500,300,700,moderate,low,29,27,33,35,low (<4 dS/m),low (<4 dS/m),6,7,5.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,180
Acacia ammobia,deep (>>150 cm),shallow (20-50 cm),24,36,10,43,light,light,200,250,150,300,low,low,23,23,26,26,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,120
Acacia ampliceps,deep (>>150 cm),medium (50-150 cm),14,36,5,46,"heavy, medium, light","heavy, medium, light",400,600,200,800,moderate,low,16,14,24,26,low (<4 dS/m),high (>10 dS/m)),7,8,6.5,8.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,180
Acacia ancistrocarpa,medium (50-150 cm),shallow (20-50 cm),22,34,10,46,light,"medium, light",300,500,250,700,low,low,18,16,23,25,low (<4 dS/m),low (<4 dS/m),5.5,7,4.5,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,180
Acacia aneura,medium (50-150 cm),shallow (20-50 cm),20,34,8,46,light,"heavy, medium, light",250,450,150,550,low,low,20,18,32,34,low (<4 dS/m),low (<4 dS/m),5.5,7,4.5,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,180
Acacia angustissima,medium (50-150 cm),shallow (20-50 cm),25,30,20,35,"heavy, medium, light, wide","heavy, medium, light, wide",1000,2500,800,3000,moderate,low,10,-,30,30,,,5,6.5,4.5,7.5,well (dry spells),poorly (saturated >50% of year),cloudy skies,very bright,light shade,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",,0,0
Acacia anticeps,deep (>>150 cm),medium (50-150 cm),18,28,8,36,light,light,250,450,150,550,low,,10,10,20,20,low (<4 dS/m),medium (4-10 dS/m),6.5,7.5,5.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,210
Acacia argyrodendron,deep (>>150 cm),medium (50-150 cm),22,32,10,40,light,"heavy, medium, light",450,550,350,650,moderate,low,20,20,24,24,low (<4 dS/m),low (<4 dS/m),6.5,8,5,9,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,210
Acacia ataxacantha,medium (50-150 cm),shallow (20-50 cm),22,35,10,45,"heavy, medium","heavy, medium",500,1300,300,1500,moderate,low,10,-,20,30,,,6,7,5.5,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",,0,0
Acacia aulacocarpa,deep (>>150 cm),medium (50-150 cm),18,32,12,43,"heavy, medium, light","heavy, medium, light",900,1200,500,1500,low,low,10,6,25,31,low (<4 dS/m),low (<4 dS/m),5,6,4,7,"well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,300
Acacia auriculiformis,medium (50-150 cm),shallow (20-50 cm),24,32,10,40,"heavy, medium, light","heavy, medium, light",1200,2500,500,5000,low,low,10,7,17,20,low (<4 dS/m),medium (4-10 dS/m),6,8,3,9.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),180,240
Acacia bidwillii,medium (50-150 cm),medium (50-150 cm),22,32,10,40,"heavy, medium","heavy, medium, light",550,750,450,850,moderate,low,16,16,26,26,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)",short day (<12 hours),180,300
Acacia brachystachya,medium (50-150 cm),shallow (20-50 cm),20,40,4,58,"heavy, medium, light","heavy, medium, light",250,300,150,500,moderate,low,23,21,32,34,low (<4 dS/m),low (<4 dS/m),5.5,7,4.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours)",60,180
Acacia brassii,deep (>>150 cm),medium (50-150 cm),22,30,12,38,light,light,1200,1600,700,1800,low,low,11,11,15,15,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),240,330
Acacia brevispica,deep (>>150 cm),medium (50-150 cm),20,30,14,35,medium,medium,450,700,350,900,high,moderate,5,-,30,35,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),well (dry spells),cloudy skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",,0,0
Acacia burkei,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia burrowii,medium (50-150 cm),medium (50-150 cm),18,30,8,40,"medium, light","heavy, medium, light",500,600,350,700,low,low,23,23,32,32,low (<4 dS/m),low (<4 dS/m),5,7,4.5,8,"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,steppe or semiarid (Bs),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",130,230
Acacia caffra,deep (>>150 cm),shallow (20-50 cm),15,35,10,40,"medium, light","medium, light",700,900,400,2000,moderate,low,26,24,32,34,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,"steppe or semiarid (Bs), subtropical humid (Cf)",,0,0
Acacia calcicola,medium (50-150 cm),shallow (20-50 cm),22,32,8,42,heavy,"heavy, medium, light",150,100,125,250,low,low,25,21,28,29,low (<4 dS/m),medium (4-10 dS/m),6,7.5,5,8.5,"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,120
Acacia cambagei,medium (50-150 cm),shallow (20-50 cm),20,30,5,40,"heavy, medium","heavy, medium, light",200,500,125,600,moderate,low,16,16,32,32,low (<4 dS/m),low (<4 dS/m),6,7.5,5.5,8.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours)",60,180
Acacia cana,deep (>>150 cm),medium (50-150 cm),14,30,10,35,heavy,heavy,600,900,500,1000,moderate,moderate,22,20,38,40,,,6,7,5.5,7.5,well (dry spells),well (dry spells),cloudy skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), subtropical humid (Cf)",,0,0
Acacia catechu,medium (50-150 cm),shallow (20-50 cm),25,35,7,48,"medium, light","heavy, medium, light",700,2100,500,3800,moderate,low,25,25,30,30,low (<4 dS/m),low (<4 dS/m),5,6,4.5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry winter (Cw)",short day (<12 hours),180,270
Acacia catenulata,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia caven,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia cincinnata,deep (>>150 cm),medium (50-150 cm),22,32,10,39,light,"heavy, medium, light",1500,3000,1000,3500,moderate,low,16,16,28,28,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf)",short day (<12 hours),210,365
Acacia coriacea,deep (>>150 cm),shallow (20-50 cm),24,32,10,43,light,"medium, light",300,500,200,800,low,low,16,16,31,31,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,240
Acacia cowleana,medium (50-150 cm),shallow (20-50 cm),24,35,12,45,light,"medium, light",250,400,200,500,low,low,19,17,25,27,low (<4 dS/m),low (<4 dS/m),5.5,7,4.5,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)",short day (<12 hours),75,150
Acacia crassicarpa,deep (>>150 cm),medium (50-150 cm),24,32,15,39,"medium, light","heavy, medium, light",1500,3000,1000,3500,low,low,8,8,20,20,low (<4 dS/m),low (<4 dS/m),4.5,5.5,4,6,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),210,300
Acacia cunninghamii,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia cyclops,medium (50-150 cm),shallow (20-50 cm),18,26,5,35,light,"medium, light",400,800,200,1000,low,low,25,25,33,33,low (<4 dS/m),medium (4-10 dS/m),6.5,7.5,6,8,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),70,210
Acacia cyperophylla,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia dealbata,medium (50-150 cm),medium (50-150 cm),15,26,6,32,"medium, light","heavy, medium, light",600,1000,300,1500,moderate,low,29,29,43,43,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,240
Acacia deanei,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia decurrens,deep (>>150 cm),medium (50-150 cm),12,25,6,30,"medium, light","medium, light",900,2600,750,3000,moderate,low,25,25,37,37,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,300
Acacia dictyophleba,deep (>>150 cm),shallow (20-50 cm),22,30,8,38,"medium, light","medium, light",200,400,100,500,moderate,moderate,10,10,20,20,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,230
Acacia difficilis,deep (>>150 cm),medium (50-150 cm),22,35,13,42,"medium, light","medium, light",650,1100,450,1500,moderate,low,11,11,18,18,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),160,300
Acacia doratoxylon,medium (50-150 cm),shallow (20-50 cm),22,23,16,38,"medium, light","medium, light",400,600,375,750,moderate,low,33,30,37,40,,,6,7,5.5,7.5,well (dry spells),well (dry spells),cloudy skies,very bright,cloudy skies,very bright,"steppe or semiarid (Bs), subtropical humid (Cf)",,0,0
Acacia dudgeoni,deep (>>150 cm),shallow (20-50 cm),22,32,14,40,"heavy, medium","heavy, medium",400,1000,300,1800,moderate,low,12,10,17,18,,,5.5,7,5,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",,0,0
Acacia ehrenbergiana,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia erioloba,deep (>>150 cm),shallow (20-50 cm),15,35,10,45,light,"medium, light",250,700,50,900,moderate,low,22,20,34,36,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,clear skies,very bright,"desert or arid (Bw), steppe or semiarid (Bs)",,0,0
Acacia erythrocalyx,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia estrophiolata,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia excelsa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia falciformis,deep (>>150 cm),shallow (20-50 cm),18,32,7,40,"medium, light","heavy, medium, light",600,800,500,900,moderate,low,26,17,38,38,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,300
Acacia farnesiana,deep (>>150 cm),medium (50-150 cm),20,32,7,42,"medium, light","heavy, medium, light",400,1400,150,4000,low,low,12,12,36,36,low (<4 dS/m),high (>10 dS/m)),6.5,7,4.3,8,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),60,240
Acacia fasciculifera,medium (50-150 cm),shallow (20-50 cm),18,32,10,40,"medium, light","medium, light",675,800,550,850,high,low,19,19,29,29,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), subtropical humid (Cf)",short day (<12 hours),180,270
Acacia flavescens,medium (50-150 cm),shallow (20-50 cm),22,34,11,38,"medium, light","heavy, medium, light",1000,2200,750,3000,moderate,low,11,11,27,27,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf)",short day (<12 hours),210,330
Acacia georginae,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia gerrardii,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia glaucocaesia,medium (50-150 cm),shallow (20-50 cm),14,30,5,36,medium,"medium, light",300,350,250,400,moderate,low,19,19,21,21,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)",short day (<12 hours),60,120
Acacia glaucocarpa,deep (>>150 cm),medium (50-150 cm),18,35,8,40,"medium, light","medium, light",650,800,500,850,moderate,low,23,23,29,29,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,300
Acacia gourmaensis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia gummifera,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia haematoxylon,deep (>>150 cm),medium (50-150 cm),18,35,10,45,light,"medium, light",150,200,100,250,moderate,low,25,25,28,28,low (<4 dS/m),low (<4 dS/m),6,8,5,9,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,very bright,"desert or arid (Bw), steppe or semiarid (Bs)",,365,365
Acacia harpophylla,deep (>>150 cm),shallow (20-50 cm),18,28,7,40,heavy,"heavy, medium",450,600,300,700,high,low,20,19,30,34,low (<4 dS/m),medium (4-10 dS/m),5.5,7.5,4.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,240
Acacia holosericea,medium (50-150 cm),shallow (20-50 cm),24,32,12,45,"medium, light","medium, light",600,1200,250,1600,moderate,low,13,11,22,24,low (<4 dS/m),low (<4 dS/m),5.5,7.5,4.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),120,300
Acacia homalophylla,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia irrorata,deep (>>150 cm),shallow (20-50 cm),18,32,10,39,heavy,"heavy, medium, light",750,1000,600,1100,moderate,low,25,25,37,37,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,subtropical humid (Cf),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Acacia jennerae,deep (>>150 cm),medium (50-150 cm),12,30,5,36,light,light,250,300,200,350,moderate,low,20,20,33,33,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,120
Acacia jensenii,deep (>>150 cm),medium (50-150 cm),12,30,5,36,light,light,300,400,200,500,low,low,18,18,24,24,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,180
Acacia julifera ssp. gilbertensis,medium (50-150 cm),shallow (20-50 cm),24,35,12,41,light,"medium, light",800,1000,450,1100,low,low,17,17,21,21,low (<4 dS/m),medium (4-10 dS/m),5,6,4.5,6.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),160,300
Acacia julifera ssp. julifera,medium (50-150 cm),shallow (20-50 cm),20,32,10,38,light,"medium, light",800,1100,500,1200,low,low,20,20,38,38,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Acacia karroo,deep (>>150 cm),medium (50-150 cm),19,33,12,40,"heavy, medium","heavy, medium, light",400,1300,200,1500,high,moderate,12,10,33,35,medium (4-10 dS/m),high (>10 dS/m)),6.5,8.5,4.5,9,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs)",,0,0
